Datetime,NO2_ppm_aeroequal,NO2_µg/m³_council
2024-08-15 15:00:00,0.0,10.53788
2024-08-15 16:00:00,0.0,14.91272
2024-08-15 17:00:00,3.4743749999998723,15.33347
2024-08-15 18:00:00,8.765624999999938,10.6335
2024-08-15 19:00:00,7.012499999999872,11.322
2024-08-16 11:00:00,20.399999999999874,10.11713
2024-08-16 12:00:00,0.0,16.30884
2024-08-16 16:00:00,0.0,18.59428
2024-08-18 12:00:00,0.0,14.60672
2024-08-18 13:00:00,0.0,11.934
2024-08-18 14:00:00,0.0,11.00644
2024-08-18 15:00:00,0.0,14.57803
2024-08-18 16:00:00,0.0,12.76116
2024-08-18 17:00:00,0.0,15.01313
2024-08-18 18:00:00,0.3825,18.04922
2024-08-18 19:00:00,0.095625,17.63803
2024-08-18 20:00:00,0.18214285714285713,19.69397
2024-08-19 12:00:00,0.3187499999998725,19.66528
2024-08-19 13:00:00,0.8287499999999361,14.77406
2024-08-19 14:00:00,0.765,15.36216
2024-08-19 15:00:00,3.3149999999999364,9.333
2024-08-19 16:00:00,7.171875,19.55053
2024-08-19 17:00:00,3.569999999999873,22.59141
2024-08-19 18:00:00,3.984374999999936,21.22397
2024-08-19 19:00:00,3.6974999999999363,14.87447
2024-08-19 20:00:00,10.779545454545385,13.95169
2024-08-20 10:00:00,6.8084999999999996,11.48456
2024-08-20 11:00:00,0.0,9.30909
2024-08-20 12:00:00,0.06375,10.863
2024-08-20 13:00:00,7.968749999999872,12.96675
2024-08-21 10:00:00,0.0,11.56584
2024-08-21 11:00:00,0.0,11.2455
2024-08-21 12:00:00,0.0,11.69972
2024-08-21 13:00:00,0.0,8.76881
2024-08-21 14:00:00,0.19125,8.97919
2024-08-21 15:00:00,0.3187499999998725,9.73941
2024-08-21 16:00:00,0.4143749999998725,7.97513
2024-08-21 17:00:00,0.8287499999999361,8.05641
2024-08-21 18:00:00,0.3825,15.00834
2024-08-21 19:00:00,0.6374999999999362,10.87734
2024-08-21 20:00:00,0.8091346153845712,12.03919
2024-08-22 10:00:00,32.416875,13.57875
2024-08-22 11:00:00,3.1874999999998725,11.44631
2024-08-22 12:00:00,5.323124999999936,9.60075
2024-08-22 13:00:00,9.498749999999873,11.48456
2024-08-22 14:00:00,8.064374999999874,12.546
2024-08-22 15:00:00,8.669999999999936,13.74609
2024-08-22 16:00:00,12.909375,8.91225
2024-08-22 17:00:00,15.395624999999999,10.51875
2024-08-22 18:00:00,7.873124999999873,11.79534
2024-08-22 19:00:00,8.32499999999983,14.40591
