Datetime,PM10_µg/m³_dust_pollen_mould_spores_sensor,PM10_µg/m³_council
2024-08-15 15:00:00,5.833333333333333,17.0
2024-08-15 16:00:00,4.766666666666667,14.8
2024-08-15 17:00:00,3.816666666666667,18.1
2024-08-15 18:00:00,6.083333333333333,14.4
2024-08-15 19:00:00,6.105263157894737,0.3
2024-08-16 11:00:00,6.8,8.3
2024-08-16 12:00:00,9.316666666666666,12.5
2024-08-16 16:00:00,8.25,13.2
2024-08-16 17:00:00,9.483333333333333,11.5
2024-08-16 18:00:00,6.625,10.4
2024-08-18 12:00:00,8.117647058823529,18.9
2024-08-18 13:00:00,9.85,23.1
2024-08-18 14:00:00,10.4,12.5
2024-08-18 15:00:00,10.35,9.6
2024-08-18 16:00:00,7.95,14.1
2024-08-18 17:00:00,9.333333333333334,20.6
2024-08-19 10:00:00,18.040816326530614,21.1
2024-08-19 11:00:00,21.966101694915253,26.1
2024-08-19 12:00:00,28.423076923076923,28.0
2024-08-19 13:00:00,30.35,26.4
2024-08-19 14:00:00,27.766666666666666,32.3
2024-08-19 15:00:00,46.43333333333333,34.9
2024-08-20 10:00:00,3.9,3.6
2024-08-20 11:00:00,3.183333333333333,5.9
2024-08-20 12:00:00,2.7,12.9
2024-08-20 13:00:00,7.0,11.2
2024-08-21 10:00:00,4.666666666666667,12.0
2024-08-21 11:00:00,2.8,0.0
2024-08-21 12:00:00,1.8666666666666667,12.4
2024-08-21 15:00:00,2.283333333333333,13.8
2024-08-21 16:00:00,1.9166666666666667,13.0
2024-08-21 17:00:00,2.2666666666666666,10.2
2024-08-21 18:00:00,5.762711864406779,16.4
2024-08-21 19:00:00,8.35,16.1
2024-08-21 20:00:00,7.44,15.1
2024-08-22 10:00:00,8.0,21.1
2024-08-22 11:00:00,10.45,13.9
2024-08-22 12:00:00,7.75,8.7
2024-08-22 13:00:00,10.1,13.4
2024-08-22 14:00:00,12.05,9.7
2024-08-22 15:00:00,11.233333333333333,9.4
2024-08-22 16:00:00,13.85,5.2
2024-08-22 17:00:00,11.133333333333333,8.7
2024-08-22 18:00:00,7.95,8.7
2024-08-22 19:00:00,12.25,14.0
