Date,Time,NO2 ppb,NO2 µg/m³
20:08:24,10:50:05,0.0157741,0.030168
20:08:24,10:51:10,-0.0918091,-0.1755849
20:08:24,10:52:16,-0.16532,-0.3161746
20:08:24,10:53:21,-0.1506504,-0.2881189
20:08:24,10:54:27,-0.2382574,-0.4556673
20:08:24,10:55:32,-0.2363735,-0.4520643
20:08:24,10:56:37,-0.701935,-1.3424507
20:08:24,10:57:43,-0.4586514,-0.8771707
20:08:24,10:58:48,-0.5688677,-1.0879595
20:08:24,10:59:54,-1.2150332,-2.323751
20:08:24,11:00:59,-0.0270345,-0.0517035
20:08:24,11:02:04,0.1149226,0.2197896
20:08:24,11:03:10,-1.2728226,-2.4342732
20:08:24,11:04:15,-0.4999706,-0.9561937
20:08:24,11:05:21,0.6959981,1.3310964
20:08:24,11:06:26,-0.1353804,-0.258915
20:08:24,11:07:32,-0.2759837,-0.5278188
20:08:24,11:08:37,-0.0965237,-0.1846015
20:08:24,11:09:42,-0.0558793,-0.1068691
20:08:24,11:10:48,-0.0731081,-0.1398192
20:08:24,11:11:53,0.0578908,0.1107161
20:08:24,11:12:59,0.1531221,0.2928461
20:08:24,11:14:04,0.1760077,0.3366146
20:08:24,11:15:09,0.0150248,0.028735
20:08:24,11:16:15,-0.0739184,-0.141369
20:08:24,11:17:20,-0.0408896,-0.0782013
20:08:24,11:18:26,-0.0905122,-0.1731045
20:08:24,11:19:31,-0.0484917,-0.0927404
20:08:24,11:20:37,-0.1528937,-0.2924092
20:08:24,11:21:42,-0.1333208,-0.254976
20:08:24,11:22:47,-0.0897143,-0.1715786
20:08:24,11:23:53,-0.1591244,-0.3043255
20:08:24,11:24:58,-0.1793985,-0.3430997
20:08:24,11:26:04,-0.1855243,-0.3548151
20:08:24,11:27:09,-0.0693967,-0.1327212
20:08:24,11:28:15,0.030786,0.0588782
20:08:24,11:29:20,0.0218559,0.0417995
20:08:24,11:30:25,0.1190808,0.227742
20:08:24,11:31:31,0.1880968,0.3597352
20:08:24,11:32:36,0.1542438,0.2949912
20:08:24,11:33:42,0.3482688,0.6660642
20:08:24,11:34:47,0.6997576,1.3382865
20:08:24,11:35:53,0.6782876,1.2972251
20:08:24,11:36:58,0.6833001,1.3068115
20:08:24,11:38:03,0.6105861,1.1677459
20:08:24,11:39:09,0.6206642,1.1870203
20:08:24,11:40:14,0.3816043,0.7298183
20:08:24,11:41:20,0.3019677,0.5775132
20:08:24,11:42:25,0.3015819,0.5767755
20:08:24,11:43:31,0.2963327,0.5667363
20:08:24,11:44:36,0.3047632,0.5828596
20:08:24,11:45:41,0.1403188,0.2683597
20:08:24,11:46:47,0.1536656,0.2938854
20:08:24,11:47:52,0.2884239,0.5516107
20:08:24,11:48:58,0.2409002,0.4607217
20:08:24,11:50:03,0.3269739,0.6253376
20:08:24,11:51:09,0.4602031,0.8801383
20:08:24,11:52:14,0.5311336,1.0157928
20:08:24,11:53:19,0.4507781,0.8621131
20:08:24,11:54:25,0.4932056,0.9432556
20:08:24,11:55:30,0.5578877,1.0669603
20:08:24,11:56:36,0.6459771,1.2354312
20:08:24,11:57:41,0.726718,1.3898483
20:08:24,11:58:46,0.769917,1.4724664
20:08:24,11:59:52,0.654162,1.2510849
20:08:24,12:00:57,0.5360276,1.0251528
20:08:24,12:02:03,0.4750743,0.9085797
20:08:24,12:03:08,0.453144,0.8666378
20:08:24,12:04:14,0.4708283,0.9004592
20:08:24,12:05:19,0.3896843,0.7452712
20:08:24,12:06:25,0.3447458,0.6593263
20:08:24,12:07:30,0.4057651,0.7760257
20:08:24,12:08:35,0.4748815,0.9082108
20:08:24,12:09:41,0.3954155,0.7562322
20:08:24,12:10:46,0.3206775,0.6132957
20:08:24,12:11:52,0.2569065,0.4913338
20:08:24,12:12:57,0.3005389,0.5747807
20:08:24,12:14:03,0.2991721,0.5721667
20:08:24,12:15:08,0.3491846,0.6678156
20:08:24,12:16:13,0.4649658,0.889247
20:08:24,12:17:19,0.4513604,0.8632268
20:08:24,12:18:24,0.501119,0.9583901
20:08:24,12:19:30,0.5895631,1.1275395
20:08:24,12:20:35,0.5781664,1.1057433
20:08:24,12:21:41,0.6086712,1.1640837
20:08:24,12:22:46,0.6974179,1.3338118
20:08:24,12:23:51,0.5605343,1.0720218
20:08:24,12:24:57,0.5376141,1.0281869
20:08:24,12:26:02,0.5601883,1.0713601
20:08:24,12:27:08,0.7340004,1.4037758
20:08:24,12:28:13,0.7599005,1.4533096
20:08:24,12:29:19,0.7657938,1.4645806
20:08:24,12:30:24,0.7624287,1.4581448
20:08:24,12:31:30,0.6916164,1.3227164
20:08:24,12:32:35,0.7391356,1.4135969
20:08:24,12:33:40,0.8889319,1.7000823
20:08:24,12:34:46,0.8868549,1.6961102
20:08:24,12:35:51,0.8769043,1.6770794
20:08:24,12:36:57,0.8171689,1.5628356
20:08:24,12:38:02,0.8449092,1.6158888
20:08:24,12:39:08,0.7889992,1.508961
20:08:24,12:40:13,0.676136,1.29311
20:08:24,12:41:18,0.6826558,1.3055793
20:08:24,12:42:24,0.6914413,1.3223815
20:08:24,12:43:29,0.713801,1.3651444
20:08:24,12:44:35,0.759804,1.4531252
20:08:24,12:45:40,0.7562987,1.4464212
20:08:24,12:46:45,0.911721,1.7436666
20:08:24,12:47:51,0.9673068,1.8499743
20:08:24,12:48:56,0.966172,1.847804
20:08:24,12:50:02,0.9302949,1.779189
20:08:24,12:51:07,1.0496079,2.007375
20:08:24,12:52:13,0.8709758,1.6657412
20:08:24,12:53:18,-0.1436047,-0.2746439
20:08:24,12:54:23,2.011008,3.8460529
20:08:24,12:55:29,2.0237367,3.8703966
20:08:24,12:56:34,2.0170941,3.8576925
20:08:24,12:57:40,1.9524602,3.7340801
20:08:24,12:58:45,1.870777,3.5778611
20:08:24,12:59:51,1.728022,3.304842
20:08:24,13:00:56,1.6429913,3.142221
20:08:24,13:02:01,1.5361574,2.937901
20:08:24,13:03:07,0.9386375,1.7951443
